127.0.0.1 - - [04/Apr/2018:23:20:06 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:20:09 +0800] "GET /MSC/ HTTP/1.1" 200 3227
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:20:09 +0800] "GET /MSC/image/login.gif HTTP/1.1" 200 5475
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:20:09 +0800] "GET /MSC/image/login2.jpg HTTP/1.1" 200 14834
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:20:09 +0800] "GET /MSC/image/login1.jpg HTTP/1.1" 200 16343
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:20:09 +0800] "GET /MSC/image/login3.jpg HTTP/1.1" 200 51375
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:20:09 +0800] "GET /MSC/image/login6.jpg HTTP/1.1" 200 15433
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:20:09 +0800] "GET /MSC/image/login5.jpg HTTP/1.1" 200 15318
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:20:09 +0800] "GET /MSC/image/style1.css HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:20:09 +0800] "GET /MSC/image/login4.jpg HTTP/1.1" 200 27512
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:20:27 +0800] "POST /MSC/login_conf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:20:27 +0800] "GET /MSC/teacher_frame.jsp HTTP/1.1" 200 964
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:20:27 +0800] "GET /MSC/image/mystyle1.css HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:20:28 +0800] "GET /MSC/teacher_navi.jsp HTTP/1.1" 200 4328
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:20:28 +0800] "GET /MSC/image/style1.css HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:20:28 +0800] "GET /MSC/image/dibian.gif HTTP/1.1" 200 561
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:20:28 +0800] "GET /MSC/image/mystyle2.css HTTP/1.1" 200 1513
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:20:28 +0800] "GET /MSC/teacher_main.jsp HTTP/1.1" 200 2056
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:20:28 +0800] "GET /MSC/image/tabbar_level1_slice_selected_right_bk.gif HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:20:28 +0800] "GET /MSC/image/tabbar_level1_bk.gif HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:20:28 +0800] "GET /MSC/image/tabbar_level1_slice_right_bk.gif HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:20:28 +0800] "GET /MSC/image/teacher.jpg HTTP/1.1" 200 47285
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:20:28 +0800] "GET /MSC/image/tips.gif HTTP/1.1" 200 17739
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:20:28 +0800] "GET /MSC/image/tips.gif HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:20:28 +0800] "GET /MSC/image/tabbar_level1_slice_left_bk.gif HTTP/1.1" 200 1000
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:20:28 +0800] "GET /MSC/image/tabbar_level1_slice_selected_left_bk.gif HTTP/1.1" 200 1799
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:20:31 +0800] "GET /MSC/menu_slt?action=quit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:20:31 +0800] "GET /MSC/login.jsp HTTP/1.1" 200 3227
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:20:31 +0800] "GET /MSC/image/style1.css HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:20:36 +0800] "POST /MSC/login_conf HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:20:38 +0800] "GET /MSC/login.jsp HTTP/1.1" 200 3227
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:20:38 +0800] "GET /MSC/image/style1.css HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:20:38 +0800] "GET /MSC/image/login1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:20:38 +0800] "GET /MSC/image/login5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:20:38 +0800] "GET /MSC/image/login3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:20:38 +0800] "GET /MSC/image/login.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:20:38 +0800] "GET /MSC/image/login6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:20:38 +0800] "GET /MSC/image/login2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:20:38 +0800] "GET /MSC/image/login4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:26:36 +0800] "POST /MSC/login_conf HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:26:38 +0800] "GET /MSC/login.jsp HTTP/1.1" 200 3227
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:26:38 +0800] "GET /MSC/image/login1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:26:38 +0800] "GET /MSC/image/style1.css HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:26:38 +0800] "GET /MSC/image/login3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:26:38 +0800] "GET /MSC/image/login5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:26:38 +0800] "GET /MSC/image/login.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:26:38 +0800] "GET /MSC/image/login6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:26:38 +0800] "GET /MSC/image/login2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:26:38 +0800] "GET /MSC/image/login4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:27:01 +0800] "POST /MSC/login_conf HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:27:03 +0800] "GET /MSC/login.jsp HTTP/1.1" 200 3227
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:27:03 +0800] "GET /MSC/image/style1.css HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:27:03 +0800] "GET /MSC/image/login1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:27:03 +0800] "GET /MSC/image/login3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:27:03 +0800] "GET /MSC/image/login.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:27:03 +0800] "GET /MSC/image/login6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:27:03 +0800] "GET /MSC/image/login2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:27:03 +0800] "GET /MSC/image/login5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:27:03 +0800] "GET /MSC/image/login4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:29:55 +0800] "POST /MSC/login_conf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:29:55 +0800] "GET /MSC/teacher_frame.jsp HTTP/1.1" 200 964
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:29:55 +0800] "GET /MSC/teacher_navi.jsp HTTP/1.1" 200 4328
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:29:56 +0800] "GET /MSC/image/style1.css HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [04/Apr/2018:23:29:56 +0800] "GET /MSC/teacher_main.jsp HTTP/1.1" 200 2056
